Date/Time,CPU Usage %,Temperature C
2022-03-22 02:37:03.758163,0.5,36.5
2022-03-22 02:37:14.032964,0.5,36
2022-03-22 02:37:24.378622,0.5,36
2022-03-22 02:37:34.714704,0.5,35.5
2022-03-22 02:37:45.034095,0.9,36
2022-03-22 02:37:55.382045,0.4,35.5
2022-03-22 02:38:05.714367,0.8,35.5
2022-03-22 02:38:16.142623,0.4,35.5
2022-03-22 02:38:26.602183,0.4,35.5
2022-03-22 02:38:36.882171,0.5,36
2022-03-22 02:38:47.229600,0.8,36
2022-03-22 02:38:57.482380,0.5,35.5
2022-03-22 02:39:07.852421,0.4,36
2022-03-22 02:39:18.406635,0.6,36
2022-03-22 02:39:28.685999,0.5,36.5
2022-03-22 02:39:39.030466,0.6,37.4
2022-03-22 02:39:49.376066,0.6,36
2022-03-22 02:39:59.626845,0.4,35.5
2022-03-22 02:40:09.955996,0.4,35.5
2022-03-22 02:40:20.274080,0.9,36
2022-03-22 02:40:30.612968,0.4,35.5
2022-03-22 02:40:40.866407,0.8,36.5
2022-03-22 02:40:51.202868,4.3,36.5
2022-03-22 02:41:01.447825,0.7,36
2022-03-22 02:41:11.690370,0.3,36
2022-03-22 02:41:22.013935,0.4,35
2022-03-22 02:41:32.398489,0.4,36
2022-03-22 02:41:42.656331,0.9,36
2022-03-22 02:41:52.998242,0.4,36
2022-03-22 02:42:03.247968,0.6,37
2022-03-22 02:42:13.553766,0.3,35.5
2022-03-22 02:42:23.826170,0.5,35.5
2022-03-22 02:42:34.176979,0.4,35.5
2022-03-22 02:42:44.434674,0.7,35.5
2022-03-22 02:42:54.663736,0.3,35
2022-03-22 02:43:04.926565,0.6,36
2022-03-22 02:43:15.269743,0.5,35.5
2022-03-22 02:43:25.615137,0.5,36
2022-03-22 02:43:35.946298,0.5,35.5
2022-03-22 02:43:46.294301,1,36
2022-03-22 02:43:56.583799,0.4,36
2022-03-22 02:44:06.883166,0.5,36
2022-03-22 02:44:17.122720,0.4,35.5
2022-03-22 02:44:27.582564,0.4,35.5
2022-03-22 02:44:37.868143,0.6,35.5
2022-03-22 02:44:48.290457,0.7,36.5
2022-03-22 02:44:58.538853,0.4,36
2022-03-22 02:45:09.117730,0.6,36.5
2022-03-22 02:45:19.382372,0.4,35.5
2022-03-22 02:45:29.622249,0.6,36.5
2022-03-22 02:45:39.907551,0.9,37
2022-03-22 02:45:50.213766,0.3,35.5
2022-03-22 02:46:00.557075,0.4,35
2022-03-22 02:46:10.822606,0.5,36
2022-03-22 02:46:21.084554,0.5,35
2022-03-22 02:46:31.315973,0.5,36
2022-03-22 02:46:41.602920,0.9,35
2022-03-22 02:46:51.867489,0.4,35
2022-03-22 02:47:02.119285,0.6,35.5
2022-03-22 02:47:12.376488,0.3,35.5
2022-03-22 02:47:22.650459,0.5,35.5
2022-03-22 02:47:32.982500,0.4,36.5
2022-03-22 02:47:43.306787,1,36.5
2022-03-22 02:47:53.579837,0.4,35.5
2022-03-22 02:48:03.854629,0.5,35
2022-03-22 02:48:14.233087,0.3,35.5
2022-03-22 02:48:24.586040,0.5,35
2022-03-22 02:48:34.814874,0.4,35
2022-03-22 02:48:45.158282,0.9,36
2022-03-22 02:48:55.420794,0.4,35.5
2022-03-22 02:49:05.694652,0.6,36
2022-03-22 02:49:15.994393,0.5,35.5
2022-03-22 02:49:26.309254,0.5,36
2022-03-22 02:49:36.787999,0.4,35.5
2022-03-22 02:49:47.111086,0.9,34
2022-03-22 02:49:57.387319,0.2,36
2022-03-22 02:50:07.638716,0.6,36
2022-03-22 02:50:17.884648,0.3,36
2022-03-22 02:50:28.246036,0.5,35
2022-03-22 02:50:38.602411,0.5,35.5
2022-03-22 02:50:49.066082,0.5,35.5
2022-03-22 02:50:59.318630,0.5,36
2022-03-22 02:51:09.570912,0.5,35
2022-03-22 02:51:19.843043,0.6,35.5
2022-03-22 02:51:30.135139,0.5,36.5
2022-03-22 02:51:40.382924,1,35.5
2022-03-22 02:51:50.718732,0.2,36.5
2022-03-22 02:52:01.010841,0.7,36
2022-03-22 02:52:11.284689,0.5,35.5
2022-03-22 02:52:21.546856,0.5,35.5
2022-03-22 02:52:31.814705,0.4,35.5
2022-03-22 02:52:42.078530,0.9,37
2022-03-22 02:52:52.340750,0.4,35
2022-03-22 02:53:02.600016,0.5,36
2022-03-22 02:53:12.863014,0.3,35.5
2022-03-22 02:53:23.127114,0.4,35
2022-03-22 02:53:33.375122,0.5,35.5
2022-03-22 02:53:43.698285,0.8,36
2022-03-22 02:53:53.963845,0.3,36
2022-03-22 02:54:04.210990,0.7,36.5
2022-03-22 02:54:14.482079,0.4,35.5
2022-03-22 02:54:24.746620,0.4,36
2022-03-22 02:54:35.078152,0.5,35.5
2022-03-22 02:54:45.634054,0.8,35.5
2022-03-22 02:54:55.899124,0.5,36
2022-03-22 02:55:06.163481,0.6,35.5
2022-03-22 02:55:16.396192,0.5,36.5
2022-03-22 02:55:26.630905,0.4,35.5
2022-03-22 02:55:36.942496,0.6,36
2022-03-22 02:55:47.192426,0.9,36.5
2022-03-22 02:55:57.522420,0.4,34.5
2022-03-22 02:56:07.774823,0.5,34.5
2022-03-22 02:56:18.006496,0.3,35
2022-03-22 02:56:28.259210,0.4,35
2022-03-22 02:56:38.514565,0.3,35
2022-03-22 02:56:48.798742,0.7,35
2022-03-22 02:56:59.078329,0.4,35.5
2022-03-22 02:57:09.398720,0.4,35.5
2022-03-22 02:57:19.670429,0.4,35.5
2022-03-22 02:57:29.926729,0.4,36
2022-03-22 02:57:40.180192,1,35
2022-03-22 02:57:50.415137,0.3,36.5
2022-03-22 02:58:00.659402,0.5,35
2022-03-22 02:58:10.889789,0.5,35.5
2022-03-22 02:58:21.149262,0.4,35
